Måling,Dato,Ap,Høyre,Frp,SV,Sp,KrF,Venstre,MDG,Rødt,Andre,Year,Month
Norstat/VL,2009-11-20,35.3,17.8,22.5,5.4,6.0,5.2,5.2,0.0,1.9,0.0,2009,11
Opinion/ANB,2009-11-18,33.3,21.7,20.9,6.4,5.2,9.0,4.3,0.0,1.6,0.0,2009,11
Respons/Aftenp,2009-11-13,33.6,20.2,21.3,6.1,6.2,5.5,4.0,0.0,2.2,0.0,2009,11
Sentio/DN,2009-11-12,35.6,19.2,22.3,6.7,5.5,4.3,4.2,0.0,1.1,0.0,2009,11
Norfakta/Nat. / KK,2009-11-09,35.9,20.9,20.7,5.8,5.8,5.2,3.4,0.0,1.2,0.0,2009,11
Norstat/NRK,2009-11-05,34.9,18.0,23.5,5.6,6.3,5.5,3.8,0.0,1.4,0.0,2009,11
Verian/TV2,2009-11-02,34.6,18.8,22.7,6.1,5.6,5.3,4.4,0.0,0.0,0.0,2009,11
Ipsos/Dagbladet,2009-12-20,31.8,21.8,21.5,8.1,5.1,5.1,4.9,0.0,1.3,0.0,2009,12
Sentio/DN,2009-12-17,34.1,20.9,22.7,6.2,6.1,5.4,3.4,0.0,1.3,0.0,2009,12
Respons/Aftenp,2009-12-12,32.6,20.7,22.2,6.7,5.4,5.7,4.1,0.0,1.9,0.0,2009,12
Opinion/ANB,2009-12-09,25.8,22.1,25.1,7.6,5.1,5.2,4.7,0.0,3.1,0.0,2009,12
Norfakta/Nat. / KK,2009-12-07,31.5,20.6,23.8,6.5,5.1,6.2,4.0,0.0,1.6,0.0,2009,12
Verian/TV2,2009-12-01,28.6,22.8,23.1,8.2,5.7,4.7,3.6,0.0,1.3,0.0,2009,12
Ipsos/Dagbladet,2010-01-31,32.5,21.9,22.6,6.9,5.2,5.7,3.9,0.0,0.8,0.0,2010,1
Norstat/VL,2010-01-29,31.4,20.4,24.3,6.3,6.7,4.9,3.7,0.0,1.1,0.0,2010,1
InFact/VG,2010-01-21,31.5,23.2,22.0,6.5,5.5,5.1,3.9,0.0,1.6,0.0,2010,1
Opinion/ANB,2010-01-21,28.1,21.9,22.1,7.4,6.0,6.0,4.7,0.0,2.7,0.0,2010,1
Respons/Aftenp,2010-01-16,33.6,23.3,21.2,6.2,5.3,5.5,3.9,0.0,0.7,0.0,2010,1
Norstat/NRK,2010-01-14,30.7,20.5,26.0,6.0,5.2,4.4,4.9,0.0,1.0,0.0,2010,1
Norfakta/Nat. / KK,2010-01-11,30.2,20.1,24.5,6.4,5.1,6.0,4.3,0.0,1.9,0.0,2010,1
Verian/TV2,2010-01-11,31.8,22.0,22.7,6.6,5.4,5.2,3.3,0.0,2.0,0.0,2010,1
Sentio/BT,2010-01-07,32.1,20.6,24.9,6.5,4.9,5.0,3.4,0.0,2.0,0.0,2010,1
Norstat/VL,2010-02-26,30.4,22.4,25.6,6.4,5.4,3.8,3.9,0.0,0.8,0.0,2010,2
Sentio/DN,2010-02-19,35.5,21.0,21.5,6.5,5.3,4.3,3.8,0.0,1.2,0.0,2010,2
Opinion/ANB,2010-02-18,31.4,24.4,22.3,6.9,5.0,3.9,4.2,0.0,1.4,0.0,2010,2
Respons/Aftenp,2010-02-12,31.9,23.5,23.0,6.6,5.0,3.7,3.5,0.0,1.6,0.0,2010,2
InFact/VG,2010-02-11,32.1,23.1,23.9,5.4,4.2,4.8,3.7,0.0,1.6,0.0,2010,2
Sentio/Mandag Morgen,2010-02-10,31.1,22.9,20.7,7.2,5.1,5.3,5.1,0.0,2.0,0.0,2010,2
Norstat/NRK,2010-02-10,33.8,19.8,23.1,6.0,5.8,4.1,4.1,0.0,1.5,0.0,2010,2
Norfakta/Nat. / KK,2010-02-06,35.4,19.8,23.7,7.6,4.8,4.0,3.6,0.0,1.5,0.0,2010,2
Verian/TV2,2010-02-01,32.0,24.7,20.9,6.1,5.2,5.0,3.3,0.0,2.0,0.0,2010,2
Norstat/VL,2010-03-30,32.4,22.2,23.9,5.8,5.5,4.2,3.3,0.0,1.7,1.1,2010,3
Sentio/SMP,2010-03-27,32.1,21.9,24.1,5.2,5.2,4.7,4.0,0.0,1.1,1.8,2010,3
Norstat/NRK,2010-03-18,28.9,23.8,24.7,5.4,5.0,4.7,3.6,0.0,2.5,0.0,2010,3
Opinion/ANB,2010-03-18,27.3,24.3,25.1,6.6,5.6,4.5,5.0,0.0,1.2,0.0,2010,3
InFact/VG,2010-03-14,29.6,22.8,25.2,6.6,5.3,3.9,4.4,0.0,1.6,0.0,2010,3
Sentio/DN,2010-03-13,31.3,19.8,23.5,7.8,4.8,5.0,4.0,0.0,2.5,0.0,2010,3
Respons/Aftenp,2010-03-12,33.0,22.9,21.4,6.0,5.0,5.0,3.0,0.0,1.7,0.0,2010,3
Norfakta/Nat. / KK,2010-03-08,32.0,20.5,23.7,6.6,5.6,4.9,5.3,0.0,0.5,0.0,2010,3
Verian/TV2,2010-03-01,31.9,23.2,21.7,6.0,4.9,4.7,4.4,0.0,1.7,0.0,2010,3
Ipsos/Dagbladet,2010-03-01,32.4,20.2,23.2,6.1,5.2,6.4,4.1,0.0,1.1,0.0,2010,3
Norstat/VL,2010-04-29,31.1,23.1,23.6,5.2,5.5,5.1,3.1,0.0,1.7,1.8,2010,4
Sentio/DN,2010-04-23,29.8,22.4,25.6,5.5,4.1,6.2,4.3,0.0,1.0,1.0,2010,4
InFact/VG,2010-04-21,27.6,24.1,21.5,7.2,6.1,6.6,3.8,0.0,1.6,1.5,2010,4
Respons/Aftenp. / BT,2010-04-16,30.2,22.1,25.4,7.0,4.7,4.3,3.9,0.0,1.2,0.0,2010,4
Norstat/NRK,2010-04-16,32.5,20.9,25.1,4.5,6.6,4.0,3.1,0.0,1.9,1.3,2010,4
Opinion/ANB,2010-04-15,26.0,24.4,25.4,9.0,4.0,4.4,4.8,0.0,1.3,0.0,2010,4
Norfakta/Nat. / KK,2010-04-12,30.4,24.5,22.9,6.3,5.3,5.0,3.4,0.0,0.9,0.0,2010,4
Verian/TV2,2010-04-12,29.1,26.1,22.4,5.5,5.8,5.2,3.9,0.0,1.1,0.0,2010,4
Ipsos/Dagbladet,2010-04-05,31.4,25.0,23.1,5.3,5.1,4.4,3.9,0.0,1.2,0.0,2010,4
Ipsos/Dagbladet,2010-05-30,31.3,22.5,22.1,6.5,5.7,4.8,5.2,0.0,0.7,1.2,2010,5
Sentio/SMP,2010-05-28,29.6,26.3,22.2,4.9,4.5,5.2,4.7,0.0,1.6,1.0,2010,5
InFact/VG,2010-05-26,29.0,27.0,22.4,5.6,4.5,4.7,4.0,0.0,1.2,1.6,2010,5
Norstat/VL,2010-05-22,29.3,24.1,24.0,6.0,4.5,4.9,4.2,0.0,1.1,1.9,2010,5
Opinion/ANB,2010-05-20,28.2,25.2,21.1,6.3,5.4,5.8,4.7,0.0,2.1,1.3,2010,5
Sentio/DN,2010-05-15,29.7,24.0,23.6,5.9,5.9,4.8,3.8,0.0,0.9,1.4,2010,5
Respons/Aftenp,2010-05-15,31.2,23.7,21.5,6.2,5.6,4.9,4.9,0.0,1.0,1.0,2010,5
Norfakta/Nat. / KK,2010-05-10,29.3,22.8,23.3,6.8,6.4,5.0,3.2,0.0,1.9,1.3,2010,5
Norstat/NRK,2010-05-07,31.1,23.4,24.1,5.2,5.9,4.3,3.4,0.0,1.3,1.2,2010,5
Verian/TV2,2010-05-03,31.1,24.2,22.2,6.6,5.2,5.1,3.2,0.0,1.5,0.8,2010,5
Ipsos/Dagbladet,2010-05-02,32.4,23.9,21.9,5.1,5.6,4.7,3.6,0.0,1.4,1.4,2010,5
Ipsos/Dagbladet,2010-06-26,28.0,27.3,23.0,6.3,4.5,5.1,3.8,0.0,1.5,0.5,2010,6
Opinion/ANB,2010-06-24,26.1,24.8,24.7,6.8,4.7,5.2,5.5,0.0,1.3,0.9,2010,6
Norstat/VL,2010-06-24,27.2,24.0,24.9,5.8,6.2,4.1,4.0,0.0,1.8,2.1,2010,6
Norstat/NRK,2010-06-17,29.1,25.4,24.3,4.8,5.9,4.3,3.5,0.0,0.8,1.8,2010,6
Sentio/DN,2010-06-12,29.6,23.9,23.7,6.2,4.8,6.2,2.6,0.0,1.4,1.7,2010,6
Respons/Aftenp. / BT,2010-06-11,30.6,24.9,20.1,6.2,7.0,4.7,3.8,0.0,1.7,1.0,2010,6
InFact/VG,2010-06-08,28.8,24.1,24.4,6.6,5.3,4.4,3.4,0.0,2.2,0.7,2010,6
Norfakta/Nat. / KK,2010-06-05,29.4,23.8,24.6,6.4,4.6,4.8,3.3,0.0,1.8,1.3,2010,6
Verian/TV2,2010-06-02,29.6,26.1,21.5,5.4,4.9,5.6,4.5,0.0,1.0,1.5,2010,6
Sentio/SMP,2010-07-29,30.8,24.6,22.6,5.6,5.4,3.9,4.0,0.0,1.8,1.3,2010,7
Norstat/NRK,2010-07-22,26.8,27.1,23.5,4.2,5.8,5.2,3.7,0.0,2.0,1.6,2010,7
Norstat/VL,2010-07-16,29.0,25.0,20.4,5.4,6.9,6.3,4.9,0.0,1.4,0.9,2010,7
Norfakta/Nat. / KK,2010-07-12,27.7,26.8,21.7,5.3,5.2,5.1,4.8,0.0,1.6,1.8,2010,7
Sentio/DN,2010-07-10,30.8,23.5,23.3,6.7,4.9,5.5,3.1,0.0,1.0,1.7,2010,7
Sentio/SMP,2010-07-03,29.6,25.2,22.5,5.9,5.4,5.0,4.4,0.0,1.1,1.0,2010,7
Verian/TV2,2010-07-01,28.3,26.5,22.0,6.0,3.9,5.0,5.1,0.0,1.1,2.1,2010,7
Ipsos/Dagbladet,2010-08-30,26.1,29.6,22.3,6.0,5.2,4.9,3.2,0.0,1.6,1.0,2010,8
Norstat/VL,2010-08-28,25.5,28.1,22.8,7.1,5.0,5.0,4.7,0.0,1.2,0.7,2010,8
InFact/VG,2010-08-24,28.8,27.8,19.2,5.5,4.5,6.1,4.3,0.0,1.9,1.8,2010,8
Norstat/NRK,2010-08-20,26.9,26.1,24.7,5.5,4.3,4.7,4.0,0.0,2.1,1.6,2010,8
Respons/Aftenp,2010-08-20,26.1,28.4,20.8,6.1,6.5,6.2,3.6,0.0,1.8,0.5,2010,8
Opinion/ANB,2010-08-19,22.1,28.3,23.4,5.4,5.4,5.7,6.1,0.0,2.4,1.1,2010,8
Sentio/DN,2010-08-12,27.2,25.7,24.0,4.6,4.8,5.3,5.1,0.0,2.0,1.3,2010,8
Verian/TV2,2010-08-09,28.7,25.3,22.6,5.7,4.7,5.1,4.9,0.0,1.3,1.7,2010,8
Norfakta/Nat. / KK,2010-08-09,28.7,26.0,24.5,4.6,4.5,5.4,4.2,0.0,1.6,0.5,2010,8
InFact/VG,2010-08-05,26.0,25.9,24.1,5.8,5.0,4.3,5.7,0.0,2.0,1.3,2010,8
Norstat/VL,2010-09-23,27.7,25.8,24.9,4.9,5.3,4.0,5.4,0.0,0.9,1.1,2010,9
Opinion/ANB,2010-09-17,25.8,28.0,21.9,5.6,4.7,4.7,5.4,0.0,2.1,1.7,2010,9
Respons/Aftenp / BT / Adressa,2010-09-17,28.4,28.2,19.5,6.0,6.2,4.4,5.2,0.0,1.7,0.5,2010,9
Norstat/NRK,2010-09-15,27.6,28.1,23.0,5.9,4.6,4.4,4.5,0.0,1.1,0.7,2010,9
Norfakta/Nat. / KK,2010-09-11,28.2,26.0,22.7,5.3,5.3,4.6,4.6,0.0,1.8,1.4,2010,9
InFact/VG,2010-09-10,26.2,26.2,25.7,6.2,4.8,4.2,2.8,0.0,2.1,1.9,2010,9
Sentio/DN,2010-09-10,29.2,27.6,22.5,5.8,4.3,4.3,3.5,0.0,1.4,0.7,2010,9
Sentio/SMP,2010-09-06,27.4,28.3,22.6,4.3,4.9,4.9,4.2,0.0,2.3,1.4,2010,9
Verian/TV2,2010-09-01,26.8,26.6,23.2,5.3,4.5,5.7,5.2,0.0,1.3,1.3,2010,9
Ipsos/Dagbladet,2010-10-30,32.1,25.5,21.7,5.0,4.4,3.9,4.8,0.0,1.3,1.3,2010,10
Norstat/VL,2010-10-29,27.7,27.5,25.1,4.8,4.3,4.5,3.9,0.0,1.5,1.2,2010,10
InFact/VG,2010-10-28,27.7,24.3,25.3,5.8,4.7,5.3,4.3,0.0,1.6,1.0,2010,10
Sentio/DN,2010-10-22,26.6,28.1,24.8,5.4,4.4,4.2,3.9,0.0,1.6,0.4,2010,10
Respons/Aftenp,2010-10-15,31.6,24.5,22.3,5.4,4.9,4.8,3.4,0.0,1.2,1.9,2010,10
Opinion/ANB,2010-10-14,25.2,28.1,22.8,6.8,4.3,3.8,5.3,0.0,2.2,1.3,2010,10
Norstat/NRK,2010-10-14,29.7,26.3,23.6,3.9,5.1,4.8,3.6,0.0,2.1,0.8,2010,10
Norfakta/Nat. / KK,2010-10-11,30.5,26.2,23.0,5.7,5.1,4.1,3.4,0.0,0.9,1.1,2010,10
Verian/TV2,2010-10-04,30.4,24.8,22.4,5.8,4.6,4.4,4.1,0.0,2.2,1.3,2010,10
Ipsos/Dagbladet,2010-10-02,27.8,26.9,24.3,5.0,4.2,3.2,4.2,0.0,1.7,2.7,2010,10
Sentio/SMP,2010-10-01,28.7,25.2,24.5,6.0,5.7,3.8,3.7,0.0,1.2,1.3,2010,10
Ipsos/Dagbladet,2010-11-27,31.2,24.4,22.6,4.1,4.6,6.2,4.3,0.0,1.7,1.3,2010,11
Norstat/VL,2010-11-26,27.6,28.1,21.6,5.6,5.7,4.4,4.6,0.0,1.4,1.0,2010,11
InFact/VG,2010-11-20,25.7,27.1,25.1,6.7,4.6,4.0,4.4,0.0,1.4,1.0,2010,11
Sentio/DN,2010-11-19,29.5,24.8,24.7,6.2,4.8,5.0,3.3,0.0,1.0,0.7,2010,11
Opinion/ANB,2010-11-19,25.6,29.0,23.9,5.1,5.2,4.2,4.4,0.0,1.8,0.7,2010,11
Respons/Aftenp / BT / Adressa,2010-11-12,27.8,24.4,25.0,5.9,5.2,4.7,4.6,0.0,1.3,1.1,2010,11
Norstat/NRK,2010-11-10,27.8,26.4,23.1,6.0,4.8,4.6,4.9,0.0,1.1,1.3,2010,11
Norfakta/Nat. / KK,2010-11-08,28.4,25.3,24.7,5.7,4.8,4.5,4.5,0.0,1.6,0.4,2010,11
Sentio/SMP,2010-11-05,25.8,26.5,25.1,5.1,4.5,5.0,4.7,0.0,1.6,1.6,2010,11
Verian/TV2,2010-11-01,27.5,26.4,25.4,5.0,5.1,3.5,4.2,0.0,1.6,1.3,2010,11
Sentio/SMP,2010-12-31,22.6,27.5,25.8,6.1,5.4,5.5,4.1,0.0,1.5,1.6,2010,12
InFact/VG,2010-12-24,25.3,24.6,26.9,5.7,4.4,5.3,4.5,0.0,2.1,1.2,2010,12
Norstat/VL,2010-12-23,25.6,28.6,25.8,5.0,5.3,4.6,2.9,0.0,1.0,1.0,2010,12
Ipsos/Dagbladet,2010-12-20,26.0,27.3,23.8,5.0,5.8,4.7,4.0,0.0,1.8,1.6,2010,12
Sentio/DN,2010-12-18,26.9,23.9,26.6,6.0,5.9,3.8,4.5,0.0,1.1,1.3,2010,12
Opinion/ANB,2010-12-16,24.6,26.8,24.1,7.2,4.3,4.9,5.1,0.0,1.8,1.1,2010,12
Respons/Aftenp,2010-12-15,26.4,27.9,22.7,6.0,5.7,4.6,3.7,0.0,1.1,1.9,2010,12
Norfakta/Nat. / KK,2010-12-13,26.9,25.5,26.6,4.9,4.2,4.5,3.9,0.0,2.0,1.6,2010,12
Norstat/NRK,2010-12-09,29.1,23.0,26.7,4.8,4.1,5.0,3.7,0.0,2.2,1.5,2010,12
Sentio/SMP,2010-12-06,25.8,25.5,25.2,6.4,5.2,4.9,4.6,0.0,1.4,0.9,2010,12
Verian/TV2,2010-12-02,27.7,26.5,23.7,6.2,4.0,4.4,4.7,0.0,0.8,2.1,2010,12
Ipsos/Dagbladet,2011-01-31,30.8,26.1,20.7,5.4,5.2,5.0,4.2,0.0,1.3,1.4,2011,1
Norstat/VL,2011-01-28,28.9,24.3,26.4,4.8,4.8,3.7,3.9,0.0,1.8,1.4,2011,1
InFact/VG,2011-01-23,26.3,24.7,27.4,5.8,3.7,4.2,4.6,0.0,1.6,1.5,2011,1
Sentio/DN,2011-01-21,28.8,25.9,23.7,4.5,4.1,4.0,6.3,0.0,0.9,1.8,2011,1
Opinion/ANB,2011-01-20,24.2,27.3,25.3,6.0,4.9,4.4,4.2,0.0,1.9,1.7,2011,1
Respons/Aftenp,2011-01-15,27.3,28.5,20.8,5.7,4.9,5.0,4.5,0.0,0.7,2.6,2011,1
Norstat/NRK,2011-01-13,27.5,24.4,24.5,5.5,5.6,5.7,4.0,0.0,2.1,0.8,2011,1
Norfakta/Nat. / KK,2011-01-10,27.6,28.2,21.9,6.9,4.9,4.2,3.5,0.0,1.7,1.1,2011,1
Verian/TV2,2011-01-10,26.2,27.5,23.7,4.8,5.6,5.4,3.6,0.0,1.9,1.2,2011,1
Ipsos/Dagbladet,2011-02-28,29.0,27.1,21.7,5.1,5.4,4.8,4.8,0.0,1.7,0.4,2011,2
Norstat/VL,2011-02-24,30.0,26.2,23.4,5.4,5.2,4.0,3.9,0.0,1.2,0.8,2011,2
Opinion/ANB,2011-02-17,23.0,29.0,23.1,7.4,4.8,4.9,5.4,0.0,2.3,0.2,2011,2
Norstat/NRK,2011-02-17,28.0,25.2,22.9,4.8,4.2,5.0,5.9,0.0,1.6,2.5,2011,2
Respons/Aftenp. / BT,2011-02-14,29.2,23.1,23.8,5.4,4.7,6.0,4.8,0.0,1.6,1.4,2011,2
Sentio/DN,2011-02-11,29.4,27.3,20.9,5.2,5.6,5.6,4.0,0.0,1.1,0.8,2011,2
Sentio/SMP,2011-02-07,27.2,25.4,26.3,6.2,4.4,4.0,4.0,0.0,1.0,1.6,2011,2
Norfakta/Nat. / KK,2011-02-05,26.5,25.7,25.3,5.6,4.2,5.1,5.0,0.0,1.5,1.1,2011,2
Verian/TV2,2011-02-02,26.9,27.2,21.6,6.0,5.4,4.1,5.3,0.0,1.8,1.7,2011,2
Sentio/SMP,2011-03-31,29.7,28.9,19.7,7.0,4.5,4.6,3.5,0.0,0.9,1.1,2011,3
Norstat/VL,2011-03-24,27.5,27.2,21.0,7.3,5.6,4.1,5.0,0.0,1.4,0.9,2011,3
Opinion/ANB,2011-03-17,23.6,28.4,21.3,7.1,5.0,4.6,6.1,0.0,2.9,1.0,2011,3
Norstat/NRK,2011-03-17,29.6,25.6,22.4,6.3,5.2,4.5,4.1,0.0,1.0,1.3,2011,3
Respons/Aftenp,2011-03-14,29.0,28.9,20.5,5.3,5.4,4.7,3.8,0.0,1.4,1.0,2011,3
Sentio/DN,2011-03-12,28.8,24.0,26.8,5.4,4.1,4.3,3.4,0.0,1.9,1.3,2011,3
Norfakta/Nat. / KK,2011-03-07,30.8,26.3,21.5,6.3,4.2,4.4,3.4,0.0,1.7,1.6,2011,3
Sentio/SMP,2011-03-03,29.2,26.2,23.3,4.3,4.8,4.5,3.9,0.0,1.7,2.1,2011,3
Verian/TV2,2011-03-02,25.3,30.1,19.7,6.0,6.3,4.6,5.0,0.0,2.2,0.8,2011,3
InFact/VG,2011-03-01,28.9,26.1,25.5,5.4,4.3,4.0,3.0,0.0,1.2,1.6,2011,3
Sentio/SMP,2011-04-29,31.7,25.2,21.1,5.4,5.1,4.0,4.4,0.0,1.3,1.9,2011,4
Norstat/VL,2011-04-26,28.2,27.7,18.7,5.2,5.6,4.9,5.1,0.0,2.8,1.7,2011,4
Sentio/DN,2011-04-15,26.6,28.8,19.5,4.2,5.2,5.9,7.0,0.0,0.8,2.2,2011,4
Opinion/ANB,2011-04-14,25.5,26.3,20.2,7.5,5.4,5.3,5.8,0.0,1.9,2.1,2011,4
Respons/Aftenp,2011-04-11,32.4,25.0,16.6,6.2,5.7,5.6,4.4,0.0,1.2,2.9,2011,4
Norfakta/Nat. / KK,2011-04-09,29.1,26.9,18.7,5.4,6.8,4.2,6.2,0.0,1.6,0.0,2011,4
Norstat/NRK,2011-04-07,32.3,25.6,20.6,5.6,4.4,4.9,3.8,0.0,1.9,1.0,2011,4
Verian/TV2,2011-04-05,30.7,27.6,16.9,6.7,4.3,5.2,5.7,0.0,1.6,1.4,2011,4
Ipsos/Dagbladet,2011-04-02,27.4,29.5,18.2,6.2,4.9,4.8,5.5,0.0,1.5,2.1,2011,4
Sentio/SMP,2011-05-31,30.6,26.7,19.2,6.7,4.5,4.0,4.4,0.0,1.3,1.9,2011,5
Ipsos/Dagbladet,2011-05-28,32.3,28.1,16.3,5.3,5.0,5.2,5.2,0.0,1.5,1.3,2011,5
Norstat/VL,2011-05-20,27.6,28.1,20.3,5.9,6.0,3.9,5.8,0.0,0.9,1.5,2011,5
Respons/Aftenp / Adressa,2011-05-13,28.1,27.8,21.0,5.3,5.5,4.5,5.0,0.0,1.7,1.1,2011,5
Sentio/DN,2011-05-13,31.0,24.7,22.2,5.3,4.2,6.2,4.5,0.0,1.5,0.5,2011,5
Opinion/ANB,2011-05-12,26.7,30.7,17.9,6.3,3.8,5.2,6.4,0.0,2.0,1.1,2011,5
Verian/TV2,2011-05-11,30.4,27.8,17.2,6.0,4.9,4.8,5.8,0.0,2.2,0.9,2011,5
Norfakta/Nat. / KK,2011-05-07,31.6,26.7,18.7,4.2,6.1,4.9,4.5,0.0,1.7,0.0,2011,5
Norstat/NRK,2011-05-05,28.9,27.0,20.4,5.3,5.9,5.8,4.9,0.0,1.5,0.3,2011,5
Ipsos/Dagbladet,2011-05-02,31.7,25.4,18.4,5.2,4.8,4.9,6.0,0.0,1.6,2.0,2011,5
Ipsos/Dagbladet,2011-06-26,29.6,28.5,19.5,5.3,4.7,5.8,4.0,0.0,1.1,1.5,2011,6
Norstat/VL,2011-06-24,27.3,27.8,22.2,5.3,4.7,4.8,4.7,0.0,1.9,1.3,2011,6
Opinion/ANB,2011-06-17,31.5,25.1,19.9,5.3,6.0,4.9,5.3,0.0,1.6,0.4,2011,6
Norstat/NRK,2011-06-16,29.1,28.9,20.3,4.6,5.0,5.5,4.0,0.0,1.2,1.5,2011,6
Sentio/DN,2011-06-15,27.1,30.1,19.4,5.3,3.8,6.4,4.8,0.0,2.1,1.0,2011,6
Respons/Aftenp. / BT,2011-06-12,28.0,32.8,17.5,3.8,5.9,4.9,4.1,0.0,1.6,1.4,2011,6
Norfakta/Nat. / KK,2011-06-11,30.1,27.2,19.6,5.5,5.4,5.2,3.2,0.0,1.9,1.9,2011,6
Verian/TV2,2011-06-07,30.3,31.8,14.5,6.4,4.7,5.5,4.6,0.0,1.2,0.8,2011,6
Ipsos/Dagbladet,2011-07-31,41.7,23.7,16.0,4.5,3.8,4.4,3.8,0.0,0.0,0.0,2011,7
Sentio/SMP,2011-07-29,28.1,28.6,20.3,4.7,4.0,6.1,3.9,0.0,2.4,1.2,2011,7
Sentio/SMP,2011-07-29,38.7,21.5,17.5,6.0,4.1,4.4,6.0,0.0,0.8,0.8,2011,7
Norstat/VL,2011-07-21,28.0,28.8,19.7,5.1,6.0,5.2,4.4,0.0,1.5,1.3,2011,7
Norstat/NRK,2011-07-19,29.6,28.1,20.0,4.7,5.0,5.4,4.7,0.0,1.5,1.1,2011,7
Norfakta/Nat. / KK,2011-07-09,28.7,27.3,21.7,5.6,4.6,5.3,4.1,0.0,1.6,1.1,2011,7
Sentio/DN,2011-07-08,28.3,27.8,22.7,5.7,4.5,4.3,4.4,0.0,1.0,1.2,2011,7
Verian/TV2,2011-07-07,31.3,28.4,17.2,6.2,4.2,4.8,4.1,0.0,1.8,2.0,2011,7
Sentio/SMP,2011-07-02,26.7,28.6,22.6,6.7,4.7,4.5,3.9,0.0,1.1,1.1,2011,7
Ipsos/Dagbladet,2011-08-27,36.8,22.7,16.9,4.7,3.9,6.2,5.2,0.0,1.3,2.3,2011,8
Norstat/VL,2011-08-25,35.4,23.2,19.2,4.9,4.7,4.9,4.9,0.0,1.3,1.5,2011,8
Opinion/ANB,2011-08-18,38.5,22.5,16.9,6.4,4.6,5.0,3.8,0.0,2.0,0.3,2011,8
Sentio/DN,2011-08-18,39.1,22.2,17.5,4.9,4.8,5.8,3.0,0.0,1.7,1.0,2011,8
Verian/TV2,2011-08-15,39.1,23.6,14.9,6.1,4.3,5.4,4.2,0.0,1.2,1.2,2011,8
Respons/Aftenp,2011-08-13,38.0,23.0,17.9,4.6,4.7,5.2,3.4,0.0,1.8,1.4,2011,8
Norstat/NRK,2011-08-10,37.8,21.5,19.0,5.9,4.1,4.8,4.3,0.0,0.9,1.6,2011,8
Norfakta/Nat. / KK,2011-08-06,40.4,21.4,16.2,5.5,4.6,5.1,4.5,0.0,1.5,0.8,2011,8
Verian/TV2,2011-08-01,40.5,22.0,16.5,4.8,5.0,3.9,4.0,0.0,2.2,1.1,2011,8
Sentio/SMP,2011-09-30,34.8,28.3,16.2,3.3,4.5,4.9,5.6,0.0,1.2,1.3,2011,9
Norstat/VL,2011-09-22,32.5,31.3,13.3,3.0,6.4,4.9,6.0,0.0,1.4,1.1,2011,9
Norfakta/Nat. / KK,2011-09-10,33.1,25.5,19.0,4.7,4.7,4.8,5.2,0.0,1.3,1.7,2011,9
Opinion/ANB,2011-09-08,37.3,26.4,14.1,4.7,5.2,3.6,5.2,0.0,2.6,0.9,2011,9
Norfakta/Nat. / KK,2011-09-03,33.7,25.3,18.0,4.7,4.7,4.8,5.6,0.0,1.5,1.7,2011,9
Sentio/SMP,2011-09-02,32.7,25.7,18.3,5.1,5.7,5.0,4.8,0.0,1.3,1.4,2011,9
Ipsos/Dagbladet,2011-10-29,34.2,27.6,15.6,4.7,6.2,4.8,5.1,0.0,1.2,0.6,2011,10
InFact/VG,2011-10-29,33.4,28.9,13.6,4.6,3.8,4.9,6.1,0.0,1.1,2.3,2011,10
Norstat/VL,2011-10-28,31.9,30.4,14.9,4.5,4.1,6.2,4.5,0.0,1.6,1.9,2011,10
Sentio/DN,2011-10-21,33.7,29.6,14.9,4.5,4.5,5.4,3.8,0.0,0.8,2.8,2011,10
Respons/Aftenp,2011-10-14,36.4,30.5,11.6,4.1,4.8,4.6,5.5,0.0,1.4,1.1,2011,10
Norstat/NRK,2011-10-13,35.1,28.3,14.6,4.2,4.6,5.3,4.5,0.0,1.7,1.7,2011,10
Opinion/ANB,2011-10-13,35.3,29.5,11.1,5.1,3.3,5.6,4.8,0.0,3.6,1.8,2011,10
Norfakta/Nat. / KK,2011-10-08,31.4,30.6,14.7,3.5,4.8,6.1,5.8,0.0,1.3,1.8,2011,10
Verian/TV2,2011-10-03,33.2,31.6,11.6,5.4,5.2,5.1,4.6,0.0,1.3,2.0,2011,10
Ipsos/Dagbladet,2011-10-03,34.6,25.8,15.3,4.8,4.9,5.2,4.6,0.0,2.5,2.1,2011,10
Ipsos/Dagbladet,2011-11-26,32.2,30.4,14.0,4.8,6.4,5.0,4.6,0.0,1.3,1.6,2011,11
Norstat/VL,2011-11-25,33.3,29.4,15.2,5.0,5.3,4.9,4.5,0.0,1.2,1.2,2011,11
InFact/VG,2011-11-25,34.9,30.5,11.9,4.2,5.1,5.2,5.2,0.0,1.3,1.7,2011,11
Sentio/DN,2011-11-18,31.9,30.0,17.3,3.7,4.6,5.3,3.8,0.0,1.5,1.8,2011,11
Opinion/ANB,2011-11-16,32.0,26.5,17.8,4.6,4.5,5.2,6.7,0.0,1.6,1.2,2011,11
Respons/Aftenp,2011-11-15,32.9,30.0,12.5,4.7,5.4,5.5,5.4,0.0,2.0,1.6,2011,11
Norstat/NRK,2011-11-09,30.8,27.6,18.0,4.6,5.8,5.2,5.8,0.0,1.2,1.0,2011,11
Norfakta/Nat. / KK,2011-11-07,33.0,28.7,16.9,3.5,5.3,4.8,4.8,0.0,2.0,1.0,2011,11
